mmsi,split,kind
237110500,Training,Tug
237110600,Test,Passenger
237119800,Training,Tug
237123700,Training,Tug
237127000,Test,Trawler
237131000,Training,Trawler
237149000,Test,Trawler
237163500,Test,Tug
237163700,Training,Tug
237194900,Training,Tug
237205000,Training,Trawler
237214000,Test,Purse seine
237219700,Training,Passenger
237220000,Training,Trawler
237241100,Training,Tug
237255000,Training,Purse seine
237292000,Test,Trawler
237326500,Training,Passenger
237363700,Training,Passenger
237382000,Training,Trawler
237383000,Training,Trawler
237385900,Test,Tug
237416000,Training,Passenger
237418000,Test,Trawler
237435000,Training,Purse seine
237444000,Test,Trawler
237446000,Training,Trawler
237448000,Test,Trawler
237448400,Training,Passenger
237506000,Training,Trawler
237536000,Training,Trawler
237544000,Training,Purse seine
237553000,Test,Purse seine
237557600,Training,Passenger
237565000,Training,Trawler
237575000,Training,Tug
237591000,Training,Trawler
237594800,Training,Passenger
237610000,Training,Trawler
237614000,Training,Passenger
237618000,Training,Trawler
237622300,Training,Passenger
237624000,Training,Trawler
237632800,Training,Passenger
237671800,Training,Passenger
237687000,Training,Purse seine
237805000,Training,Trawler
237813500,Training,Passenger
237852000,Training,Trawler
237876000,Training,Trawler
237885000,Training,Trawler
237887000,Training,Trawler
237889000,Training,Trawler
237905000,Training,Trawler
237924000,Training,Trawler
237930000,Training,Trawler
237958000,Training,Purse seine
237959000,Training,Purse seine
237962000,Training,Purse seine
237963000,Training,Purse seine
237968000,Training,Purse seine
237980000,Training,Purse seine
237993000,Training,Purse seine
237994000,Test,Purse seine
238001340,Training,Purse seine
238010340,Training,Purse seine
238016640,Training,Purse seine
238017240,Test,Passenger
238019940,Training,Trawler
238037040,Training,Purse seine
238102540,Training,Purse seine
238103440,Training,Purse seine
238111111,Training,Purse seine
238114940,Training,Purse seine
238116740,Training,Purse seine
238116840,Training,Purse seine
238117240,Training,Trawler
238117940,Training,Purse seine
238150000,Training,Purse seine
238152840,Training,Purse seine
238180540,Training,Purse seine
238192340,Training,Purse seine
238197240,Training,Trawler
238217440,Training,Purse seine
238277740,Test,Trawler
238279740,Training,Purse seine
238281140,Training,Purse seine
238288740,Test,Purse seine
238294140,Training,Purse seine
238299299,Training,Purse seine
238308040,Test,Purse seine
238309540,Training,Purse seine
238316240,Training,Purse seine
238361240,Test,Purse seine
238366440,Training,Purse seine
238369040,Test,Purse seine
238390540,Training,Purse seine
238400840,Training,Purse seine
238403040,Training,Purse seine
238411040,Training,Purse seine
238416040,Training,Purse seine
238420640,Training,Purse seine
238429040,Training,Trawler
238443406,Training,Purse seine
238469740,Training,Purse seine
238469840,Training,Purse seine
238506240,Test,Trawler
238536710,Training,Trawler
238561110,Training,Purse seine
238572410,Training,Purse seine
238581110,Training,Trawler
238582510,Training,Purse seine
238583910,Training,Purse seine
238604010,Test,Purse seine
238613210,Training,Purse seine
238621140,Training,Purse seine
238621810,Training,Purse seine
238622240,Training,Purse seine
238622310,Training,Purse seine
238623740,Training,Purse seine
238624910,Training,Purse seine
238644110,Training,Purse seine
238647310,Training,Purse seine
238649510,Training,Trawler
238673640,Test,Purse seine
238743340,Training,Purse seine
238744540,Training,Purse seine
238751940,Test,Purse seine
238752140,Training,Purse seine
238752740,Training,Purse seine
238764940,Training,Purse seine
238765040,Training,Purse seine
238769140,Test,Purse seine
238770640,Training,Purse seine
238771340,Training,Purse seine
238778540,Training,Purse seine
238790840,Training,Trawler
238794240,Training,Purse seine
238825840,Test,Purse seine
238836740,Training,Purse seine
238837240,Training,Purse seine
238838740,Training,Purse seine
238880340,Training,Purse seine
238882640,Training,Purse seine
238892340,Training,Purse seine
238899140,Training,Purse seine
238899240,Training,Purse seine
238900840,Training,Purse seine
238902840,Training,Purse seine
238905540,Training,Purse seine
238909140,Training,Purse seine
238914540,Training,Purse seine
238939940,Training,Purse seine
238955340,Training,Purse seine
238957040,Training,Purse seine
238958248,Training,Purse seine
238963340,Training,Purse seine
238972240,Training,Trawler
238975610,Training,Purse seine
238982010,Training,Purse seine
238984610,Test,Trawler
238988810,Training,Purse seine
238989740,Training,Purse seine
238990110,Training,Purse seine
238993240,Training,Purse seine
239022000,Training,Purse seine
239023000,Training,Purse seine
239031000,Training,Purse seine
239050000,Training,Purse seine
239066000,Training,Purse seine
239083000,Test,Purse seine
239083700,Training,Passenger
239088000,Test,Purse seine
239094000,Training,Purse seine
239097000,Training,Purse seine
239098000,Training,Purse seine
239100000,Training,Purse seine
239101000,Training,Purse seine
239110400,Test,Tug
239116000,Training,Purse seine
239117000,Training,Purse seine
239118000,Training,Purse seine
239120000,Training,Purse seine
239128000,Test,Purse seine
239130000,Training,Purse seine
239132000,Training,Purse seine
239139000,Training,Purse seine
239143000,Training,Purse seine
239155000,Training,Purse seine
239174000,Training,Purse seine
239178000,Training,Purse seine
239189700,Test,Passenger
239222000,Training,Purse seine
239223000,Training,Tug
239236000,Training,Purse seine
239240000,Training,Purse seine
239253000,Training,Purse seine
239266000,Training,Purse seine
239272000,Training,Purse seine
239296000,Test,Purse seine
239297000,Training,Passenger
239310300,Training,Passenger
239315000,Training,Purse seine
239331000,Training,Purse seine
239344000,Training,Purse seine
239400000,Training,Purse seine
239409000,Training,Purse seine
239409700,Training,Passenger
239430000,Test,Passenger
239436000,Training,Purse seine
239462000,Training,Purse seine
239471800,Training,Passenger
239478000,Training,Tug
239479000,Training,Purse seine
239513000,Training,Passenger
239526000,Training,Purse seine
239565000,Training,Purse seine
239577900,Training,Passenger
239599000,Training,Purse seine
239617600,Training,Passenger
239630600,Training,Passenger
239630800,Training,Passenger
239634000,Training,Tug
239639500,Training,Passenger
239651400,Training,Tug
239672200,Training,Passenger
239707000,Training,Purse seine
239722800,Training,Passenger
239743000,Training,Tug
239785700,Training,Passenger
239806100,Test,Tug
239808200,Training,Tug
239812400,Training,Passenger
239814400,Training,Tug
239814500,Training,Tug
239842700,Training,Tug
239850900,Test,Passenger
239882000,Training,Tug
239885200,Training,Passenger
239886300,Training,Tug
239888100,Training,Passenger
239977000,Training,Purse seine
240020000,Training,Purse seine
240047000,Training,Tug
240067000,Training,Cargo/Tanker
240111000,Training,Cargo/Tanker
240112000,Training,Trawler
240164000,Training,Purse seine
240219000,Training,Purse seine
240220000,Training,Purse seine
240231000,Training,Purse seine
240234000,Training,Purse seine
240248000,Training,Purse seine
240251000,Training,Purse seine
240275000,Training,Cargo/Tanker
240281000,Training,Purse seine
240298000,Training,Purse seine
240304000,Training,Purse seine
240315000,Training,Purse seine
240324000,Training,Purse seine
240337000,Test,Trawler
240349000,Training,Passenger
240374000,Training,Purse seine
240384000,Training,Purse seine
240387000,Training,Purse seine
240391000,Training,Tug
240418000,Training,Purse seine
240419000,Training,Purse seine
240427000,Training,Trawler
240429000,Training,Trawler
240558000,Test,Passenger
240588000,Training,Trawler
240632000,Training,Purse seine
240657000,Training,Cargo/Tanker
240661000,Test,Passenger
240694000,Training,Tug
240708000,Training,Cargo/Tanker
240733000,Test,Tug
240737000,Training,Purse seine
240775000,Training,Cargo/Tanker
240825000,Training,Cargo/Tanker
240854000,Training,Purse seine
240873000,Training,Tug
240895000,Training,Purse seine
240897000,Training,Cargo/Tanker
240917000,Training,Tug
240919000,Test,Tug
240921000,Training,Passenger
240922000,Training,Tug
240925000,Training,Tug
240951000,Test,Passenger
240973000,Training,Cargo/Tanker
241005000,Training,Purse seine
241011000,Training,Tug
241049000,Test,Tug
241055000,Training,Cargo/Tanker
241110000,Training,Purse seine
241125000,Training,Passenger
241126000,Training,Tug
241140000,Training,Purse seine
241168000,Training,Tug
241290000,Training,Cargo/Tanker
241318000,Training,Passenger
241323000,Training,Passenger
241327000,Training,Tug
242963000,Training,Purse seine
244006000,Training,Passenger
244010030,Training,Cargo/Tanker
244010675,Training,Cargo/Tanker
244010773,Training,Cargo/Tanker
244020488,Training,Cargo/Tanker
244029057,Training,Passenger
244030668,Training,Cargo/Tanker
244038000,Training,Trawler
244049000,Training,Trawler
244050117,Training,Passenger
244092000,Test,Cargo/Tanker
244102000,Training,Trawler
244110447,Training,Passenger
244162000,Training,Cargo/Tanker
244170000,Training,Cargo/Tanker
244175000,Training,Trawler
244198000,Training,Cargo/Tanker
244293000,Training,Trawler
244358000,Training,Trawler
244399000,Training,Trawler
244469000,Training,Tug
244470000,Training,Trawler
244536000,Test,Tug
244577000,Training,Trawler
244615886,Training,Cargo/Tanker
244620567,Training,Cargo/Tanker
244620775,Training,Passenger
244620841,Training,Cargo/Tanker
244620961,Training,Cargo/Tanker
244620964,Test,Cargo/Tanker
244620973,Training,Cargo/Tanker
244630026,Training,Cargo/Tanker
244630033,Training,Cargo/Tanker
244630043,Training,Cargo/Tanker
244630052,Training,Cargo/Tanker
244630220,Training,Passenger
244630797,Training,Cargo/Tanker
244650102,Training,Cargo/Tanker
244650356,Training,Passenger
244650571,Test,Cargo/Tanker
244650611,Training,Cargo/Tanker
244650746,Training,Cargo/Tanker
244650753,Training,Cargo/Tanker
244650842,Training,Cargo/Tanker
244650881,Training,Cargo/Tanker
244650886,Training,Tug
244659000,Training,Trawler
244660087,Training,Cargo/Tanker
244660117,Training,Cargo/Tanker
244660222,Test,Cargo/Tanker
244660328,Training,Cargo/Tanker
244660401,Training,Cargo/Tanker
244660406,Test,Tug
244660412,Test,Cargo/Tanker
244660483,Training,Cargo/Tanker
244660564,Training,Cargo/Tanker
244660582,Training,Cargo/Tanker
244660598,Training,Cargo/Tanker
244660649,Training,Cargo/Tanker
244660656,Training,Cargo/Tanker
244660702,Training,Passenger
244660765,Training,Cargo/Tanker
244660811,Training,Cargo/Tanker
244660830,Training,Cargo/Tanker
244660841,Training,Cargo/Tanker
244660908,Training,Cargo/Tanker
244668000,Training,Trawler
244670068,Training,Cargo/Tanker
244670077,Training,Cargo/Tanker
244670122,Training,Cargo/Tanker
244670244,Training,Cargo/Tanker
244670295,Training,Cargo/Tanker
244670404,Test,Cargo/Tanker
244670433,Training,Cargo/Tanker
244670435,Training,Cargo/Tanker
244670563,Training,Cargo/Tanker
244670564,Training,Cargo/Tanker
244670571,Training,Cargo/Tanker
244670638,Test,Cargo/Tanker
244670658,Training,Cargo/Tanker
244670697,Training,Cargo/Tanker
244670725,Test,Cargo/Tanker
244670768,Training,Cargo/Tanker
244670797,Test,Cargo/Tanker
244670819,Training,Cargo/Tanker
244670837,Training,Pots and traps
244670857,Training,Cargo/Tanker
244690002,Training,Cargo/Tanker
244690112,Training,Cargo/Tanker
244690316,Training,Cargo/Tanker
244690375,Training,Cargo/Tanker
244690451,Training,Cargo/Tanker
244690525,Training,Cargo/Tanker
244690964,Training,Passenger
244691000,Training,Trawler
244700038,Test,Passenger
244700065,Training,Cargo/Tanker
244700100,Training,Cargo/Tanker
244700198,Training,Cargo/Tanker
244700253,Training,Cargo/Tanker
244700271,Training,Cargo/Tanker
244700326,Training,Cargo/Tanker
244700363,Training,Cargo/Tanker
244700379,Test,Cargo/Tanker
244700621,Training,Cargo/Tanker
244700632,Training,Cargo/Tanker
244700726,Training,Cargo/Tanker
244700786,Training,Cargo/Tanker
244700809,Training,Tug
244700828,Training,Cargo/Tanker
244707000,Training,Cargo/Tanker
244710207,Training,Cargo/Tanker
244710352,Training,Cargo/Tanker
244710485,Training,Passenger
244710736,Training,Cargo/Tanker
244710833,Training,Cargo/Tanker
244710870,Training,Cargo/Tanker
244710876,Training,Cargo/Tanker
244730020,Training,Cargo/Tanker
244730148,Training,Cargo/Tanker
244730209,Training,Cargo/Tanker
244730210,Training,Cargo/Tanker
244730368,Training,Cargo/Tanker
244730862,Training,Cargo/Tanker
244730982,Training,Passenger
244740052,Test,Cargo/Tanker
244740096,Test,Cargo/Tanker
244740404,Training,Cargo/Tanker
244740763,Training,Cargo/Tanker
244750008,Training,Cargo/Tanker
244750021,Training,Cargo/Tanker
244750022,Training,Cargo/Tanker
244750163,Training,Cargo/Tanker
244750309,Training,Cargo/Tanker
244750356,Training,Cargo/Tanker
244750401,Training,Cargo/Tanker
244750424,Training,Passenger
244750561,Training,Passenger
244750641,Test,Cargo/Tanker
244770085,Training,Passenger
244770335,Training,Passenger
244770913,Training,Passenger
244780132,Test,Tug
244790074,Training,Passenger
244790212,Training,Passenger
244790677,Training,Trawler
244806000,Training,Trawler
244810347,Training,Passenger
244810401,Training,Tug
244810436,Training,Passenger
244820507,Training,Tug
244820548,Training,Tug
244830802,Training,Passenger
244830809,Training,Tug
244830896,Training,Passenger
244830937,Training,Tug
244830975,Training,Tug
244830984,Training,Passenger
244850081,Test,Passenger
244850093,Training,Tug
244850094,Training,Tug
244850101,Training,Passenger
244850156,Training,Tug
244850205,Test,Tug
244850336,Training,Passenger
244850368,Test,Tug
244850398,Training,Passenger
244850536,Training,Passenger
244850580,Training,Passenger
244850614,Training,Passenger
244850620,Training,Passenger
244850695,Test,Passenger
244850911,Training,Passenger
244850931,Training,Passenger
244850975,Training,Tug
244860048,Training,Trawler
244860172,Training,Passenger
244860250,Training,Passenger
244860263,Training,Passenger
244860406,Test,Passenger
244860535,Training,Trawler
244860640,Test,Tug
244860900,Training,Passenger
244870016,Training,Tug
244870031,Training,Passenger
244870247,Training,Tug
244870300,Training,Passenger
244870319,Training,Passenger
244870324,Training,Tug
244870325,Training,Tug
244870426,Training,Passenger
244907000,Training,Trawler
244965000,Training,Trawler
245010000,Training,Cargo/Tanker
245148000,Training,Trawler
245150000,Test,Trawler
245178000,Training,Trawler
245202000,Training,Trawler
245269000,Training,Trawler
245293000,Test,Trawler
245334000,Training,Cargo/Tanker
245341000,Test,Trawler
245364000,Test,Trawler
245405000,Test,Cargo/Tanker
245457000,Training,Cargo/Tanker
245494000,Training,Tug
245504000,Training,Trawler
245530000,Training,Trawler
245612000,Training,Trawler
245633000,Training,Trawler
245700000,Training,Trawler
245710000,Training,Trawler
245748000,Training,Trawler
245749000,Training,Cargo/Tanker
245766000,Training,Trawler
245811000,Training,Trawler
245813000,Training,Trawler
245897000,Training,Cargo/Tanker
245899000,Training,Trawler
245912000,Training,Cargo/Tanker
245922000,Training,Trawler
245932000,Training,Tug
246046000,Training,Cargo/Tanker
246047000,Training,Trawler
246068000,Test,Trawler
246105000,Training,Trawler
246143000,Test,Pots and traps
246176000,Training,Trawler
246183000,Training,Trawler
246195000,Training,Cargo/Tanker
246211000,Training,Tug
246238000,Training,Trawler
246269000,Test,Trawler
246345000,Training,Cargo/Tanker
246346000,Training,Cargo/Tanker
246355000,Training,Cargo/Tanker
246372000,Training,Trawler
246386000,Training,Cargo/Tanker
246392000,Training,Cargo/Tanker
246429000,Test,Trawler
246503000,Training,Trawler
246528000,Training,Tug
246530000,Training,Cargo/Tanker
246570000,Training,Trawler
246592000,Training,Cargo/Tanker
246650000,Training,Cargo/Tanker
246661000,Training,Cargo/Tanker
246710000,Training,Tug
246832000,Training,Tug
247003000,Training,Cargo/Tanker
247006400,Test,Passenger
247007000,Training,Cargo/Tanker
247012900,Training,Cargo/Tanker
247030160,Test,Trawler
247030180,Training,Trawler
247030200,Training,Passenger
247030330,Training,Trawler
247030770,Training,Trawler
247030820,Training,Purse seine
247041390,Training,Purse seine
247041430,Training,Trawler
247044850,Training,Longliner
247044870,Training,Purse seine
247044970,Training,Trawler
247044980,Training,Trawler
247045770,Training,Trawler
247048880,Training,Trawler
247048960,Training,Purse seine
247049260,Training,Purse seine
247049280,Training,Longliner
247049430,Training,Purse seine
247049440,Training,Purse seine
247049490,Training,Purse seine
247050180,Training,Trawler
247050430,Training,Purse seine
247050620,Test,Trawler
247050830,Training,Trawler
247050970,Training,Trawler
247050990,Training,Trawler
247051230,Training,Trawler
247051450,Training,Trawler
247051560,Training,Trawler
247051770,Training,Trawler
247051820,Training,Trawler
247051860,Training,Trawler
247051920,Training,Trawler
247051930,Training,Trawler
247051980,Training,Trawler
247052530,Training,Trawler
247052550,Training,Trawler
247052680,Training,Trawler
247052760,Training,Trawler
247052930,Training,Trawler
247053040,Training,Trawler
247053120,Training,Trawler
247053160,Training,Trawler
247053370,Training,Trawler
247053580,Training,Trawler
247053620,Training,Trawler
247053710,Training,Trawler
247053720,Training,Trawler
247053780,Training,Trawler
247053820,Training,Trawler
247054040,Training,Trawler
247054170,Training,Trawler
247054750,Training,Trawler
247055400,Training,Trawler
247059800,Training,Trawler
247061680,Training,Trawler
247061690,Training,Trawler
247061710,Training,Trawler
247062140,Training,Trawler
247064930,Test,Trawler
247065200,Training,Purse seine
247065580,Test,Purse seine
247065650,Training,Trawler
247065670,Training,Trawler
247065680,Training,Trawler
247065940,Training,Purse seine
247066220,Training,Purse seine
247066860,Training,Trawler
247066930,Training,Trawler
247067730,Training,Purse seine
247068080,Training,Trawler
247069490,Test,Purse seine
247069980,Training,Purse seine
247070590,Training,Trawler
247070650,Training,Trawler
247070780,Training,Trawler
247070800,Training,Passenger
247070830,Training,Purse seine
247070850,Training,Trawler
247070880,Training,Trawler
247070960,Training,Trawler
247071060,Training,Trawler
247071070,Training,Purse seine
247071970,Training,Trawler
247072720,Training,Trawler
247072770,Training,Trawler
247072820,Training,Trawler
247072850,Training,Trawler
247073550,Training,Purse seine
247075500,Training,Tug
247076010,Training,Trawler
247076150,Training,Trawler
247076620,Training,Trawler
247077970,Test,Trawler
247080330,Training,Trawler
247080780,Training,Trawler
247080810,Training,Trawler
247080910,Training,Trawler
247081340,Training,Purse seine
247081390,Training,Trawler
247081430,Training,Trawler
247081550,Training,Trawler
247081610,Training,Trawler
247081690,Training,Trawler
247081710,Test,Trawler
247081730,Training,Purse seine
247082290,Training,Trawler
247082560,Training,Trawler
247082580,Training,Trawler
247083060,Training,Trawler
247083070,Test,Trawler
247083150,Training,Trawler
247083190,Training,Trawler
247083400,Training,Trawler
247083550,Training,Trawler
247083630,Test,Trawler
247083890,Training,Trawler
247083920,Training,Trawler
247084040,Training,Trawler
247084290,Training,Trawler
247084320,Training,Trawler
247084470,Training,Trawler
247084610,Training,Trawler
247084670,Training,Trawler
247084740,Training,Trawler
247085770,Test,Trawler
247085860,Training,Trawler
247086590,Training,Trawler
247087020,Training,Trawler
247087260,Training,Trawler
247088050,Training,Trawler
247090950,Training,Trawler
247091110,Training,Trawler
247091500,Training,Cargo/Tanker
247091570,Training,Purse seine
247092290,Training,Trawler
247092370,Training,Trawler
247092390,Training,Trawler
247092860,Training,Purse seine
247092950,Training,Trawler
247092970,Training,Trawler
247093010,Training,Trawler
247093040,Training,Trawler
247094150,Training,Trawler
247094940,Training,Purse seine
247098200,Training,Passenger
247099280,Training,Trawler
247099330,Training,Purse seine
247099420,Test,Trawler
247099790,Training,Trawler
247099830,Training,Trawler
247100020,Training,Trawler
247100050,Training,Purse seine
247100110,Training,Purse seine
247100250,Training,Trawler
247100270,Training,Trawler
247100410,Training,Purse seine
247100520,Training,Trawler
247100570,Training,Trawler
247100680,Training,Trawler
247100690,Training,Trawler
247100740,Training,Trawler
247100770,Training,Purse seine
247100920,Test,Trawler
247100960,Training,Purse seine
247101050,Training,Trawler
247101120,Training,Trawler
247101310,Training,Trawler
247101540,Training,Trawler
247101630,Training,Trawler
247102020,Training,Trawler
247102210,Training,Trawler
247102330,Training,Purse seine
247102560,Training,Trawler
247103560,Training,Longliner
247103690,Training,Purse seine
247103750,Test,Trawler
247108400,Test,Purse seine
247110060,Training,Purse seine
247110080,Training,Purse seine
247110120,Training,Purse seine
247110130,Test,Purse seine
247110160,Training,Purse seine
247110380,Training,Trawler
247110430,Training,Trawler
247110440,Training,Purse seine
247110550,Training,Purse seine
247110980,Training,Purse seine
247111000,Training,Tug
247111020,Training,Trawler
247111260,Training,Purse seine
247111400,Training,Tug
247111500,Training,Tug
247111680,Training,Purse seine
247112110,Training,Trawler
247112500,Training,Passenger
247113010,Training,Trawler
247113090,Training,Trawler
247113730,Training,Purse seine
247113950,Training,Purse seine
247114000,Training,Passenger
247114150,Training,Trawler
247118040,Training,Purse seine
247118500,Training,Trawler
247119740,Training,Trawler
247120230,Training,Trawler
247120470,Training,Trawler
247120490,Training,Trawler
247120500,Training,Trawler
247120760,Test,Purse seine
247120910,Test,Trawler
247120970,Training,Trawler
247121010,Training,Trawler
247121080,Training,Trawler
247121110,Training,Trawler
247121120,Training,Trawler
247121160,Training,Trawler
247121180,Training,Trawler
247121220,Training,Trawler
247121280,Training,Trawler
247121290,Training,Trawler
247121620,Training,Trawler
247121680,Training,Trawler
247121730,Test,Trawler
247121970,Training,Trawler
247122080,Test,Trawler
247122110,Training,Trawler
247122130,Training,Trawler
247122310,Training,Trawler
247124560,Training,Trawler
247124830,Training,Trawler
247125260,Training,Purse seine
247125340,Training,Trawler
247125380,Test,Trawler
247125730,Training,Trawler
247126890,Training,Trawler
247127890,Training,Trawler
247130010,Training,Trawler
247130250,Training,Trawler
247130320,Training,Trawler
247130410,Training,Purse seine
247130630,Training,Purse seine
247130650,Training,Purse seine
247130710,Training,Trawler
247130830,Training,Purse seine
247131130,Training,Trawler
247131310,Training,Purse seine
247131370,Training,Trawler
247131490,Training,Purse seine
247132480,Training,Trawler
247132540,Training,Purse seine
247133620,Training,Trawler
247138000,Training,Tug
247140040,Training,Purse seine
247140080,Training,Purse seine
247140110,Training,Longliner
247140340,Test,Trawler
247140410,Training,Trawler
247140420,Training,Trawler
247140520,Training,Longliner
247140560,Training,Purse seine
247140580,Training,Purse seine
247140610,Training,Trawler
247140790,Training,Trawler
247140850,Training,Trawler
247141040,Training,Longliner
247141130,Training,Trawler
247141160,Training,Trawler
247141200,Training,Trawler
247141230,Training,Trawler
247141250,Training,Trawler
247141410,Training,Trawler
247141490,Training,Purse seine
247141630,Training,Purse seine
247141660,Test,Purse seine
247141850,Training,Purse seine
247142070,Training,Trawler
247142180,Test,Purse seine
247142290,Training,Trawler
247142450,Training,Trawler
247142750,Training,Trawler
247142780,Test,Trawler
247142960,Training,Trawler
247143140,Training,Trawler
247143230,Training,Purse seine
247143410,Training,Trawler
247143540,Test,Trawler
247143580,Training,Trawler
247143660,Training,Trawler
247143760,Training,Purse seine
247143820,Training,Trawler
247143830,Test,Trawler
247143930,Training,Trawler
247144240,Training,Trawler
247144270,Test,Purse seine
247144420,Training,Purse seine
247144640,Training,Trawler
247144870,Training,Purse seine
247144890,Training,Purse seine
247144910,Test,Purse seine
247145030,Training,Trawler
247145080,Training,Trawler
247145190,Training,Trawler
247145370,Training,Trawler
247145460,Test,Trawler
247145470,Training,Trawler
247145710,Training,Trawler
247145850,Training,Purse seine
247146020,Training,Purse seine
247146110,Training,Trawler
247146190,Training,Purse seine
247146320,Training,Purse seine
247146610,Training,Trawler
247146630,Training,Longliner
247146640,Training,Purse seine
247146650,Training,Purse seine
247146770,Training,Trawler
247146890,Training,Trawler
247146970,Training,Trawler
247147080,Test,Trawler
247147090,Test,Trawler
247147190,Training,Trawler
247147290,Training,Trawler
247147350,Training,Purse seine
247147460,Training,Trawler
247147510,Training,Trawler
247147560,Training,Trawler
247147660,Training,Trawler
247147730,Training,Trawler
247147950,Training,Trawler
247148150,Training,Purse seine
247148660,Training,Trawler
247149150,Training,Trawler
247149250,Training,Trawler
247149410,Training,Trawler
247149480,Test,Trawler
247149810,Training,Trawler
247149860,Training,Purse seine
247149980,Training,Trawler
247150050,Training,Trawler
247150210,Training,Longliner
247150930,Training,Purse seine
247150980,Training,Trawler
247150990,Training,Trawler
247151030,Training,Trawler
247151060,Training,Trawler
247151150,Training,Trawler
247151290,Training,Trawler
247151671,Test,Trawler
247151690,Training,Trawler
247151730,Training,Trawler
247151920,Training,Longliner
247151930,Training,Longliner
247151980,Training,Longliner
247151990,Training,Longliner
247152010,Training,Trawler
247152130,Training,Trawler
247152210,Training,Purse seine
247152250,Training,Longliner
247152310,Training,Trawler
247152500,Training,Tug
247153600,Test,Tug
247154230,Test,Trawler
247155210,Training,Purse seine
247155630,Test,Trawler
247159200,Training,Tug
247163900,Training,Passenger
247185500,Training,Trawler
247187200,Test,Tug
247214000,Training,Tug
247220040,Training,Purse seine
247220050,Test,Purse seine
247220290,Training,Trawler
247220620,Training,Purse seine
247222200,Training,Passenger
247232800,Training,Passenger
247239900,Training,Purse seine
247246000,Training,Tug
247250120,Training,Purse seine
247252970,Training,Trawler
247265400,Training,Tug
247267800,Test,Tug
247277200,Training,Tug
247277300,Training,Tug
247279000,Training,Passenger
247279600,Training,Passenger
247280590,Training,Trawler
247280830,Training,Purse seine
247281250,Training,Trawler
247281540,Training,Trawler
247281700,Training,Tug
247294900,Training,Tug
247295000,Training,Tug
247295600,Training,Tug
247300030,Training,Purse seine
247300040,Training,Purse seine
247300080,Training,Trawler
247300180,Training,Longliner
247300220,Training,Trawler
247300850,Training,Longliner
247300910,Training,Purse seine
247300990,Test,Trawler
247301120,Training,Purse seine
247302320,Training,Purse seine
247302330,Training,Purse seine
247302720,Training,Purse seine
247303180,Training,Purse seine
247304980,Training,Trawler
247305480,Test,Purse seine
247305540,Training,Trawler
247306970,Training,Purse seine
247308540,Training,Trawler
247309110,Training,Trawler
247312400,Training,Cargo/Tanker
247315800,Training,Tug
247316200,Training,Tug
247331200,Training,Tug
247331300,Training,Tug
247354400,Training,Purse seine
247365000,Training,Tug
247387000,Training,Passenger
247408000,Training,Tug
247409000,Training,Tug
247438000,Training,Tug
247469000,Training,Tug
247556000,Training,Passenger
247605000,Training,Tug
247606000,Training,Tug
247834000,Training,Tug
248000155,Training,Passenger
248000283,Test,Passenger
248000291,Training,Passenger
248000391,Training,Passenger
248000399,Training,Passenger
248000540,Test,Trawler
248000588,Training,Passenger
248000618,Training,Passenger
248000694,Training,Passenger
248000711,Training,Passenger
248000734,Training,Passenger
248000746,Training,Passenger
248000747,Training,Passenger
248000857,Training,Supply
248000869,Training,Passenger
248000924,Training,Passenger
248171000,Training,Cargo/Tanker
248186000,Training,Tug
248187000,Training,Tug
248190000,Training,Tug
248223000,Test,Cargo/Tanker
248341000,Training,Tug
248383000,Training,Passenger
248482000,Training,Passenger
248791000,Test,Cargo/Tanker
248825000,Training,Cargo/Tanker
248990000,Training,Cargo/Tanker
249000093,Training,Passenger
249000327,Training,Passenger
249000891,Test,Passenger
249000959,Training,Passenger
249005000,Training,Tug
249040000,Training,Tug
249122000,Training,Tug
249131000,Training,Passenger
249188000,Training,Tug
249328000,Test,Passenger
249375000,Training,Cargo/Tanker
249425000,Training,Cargo/Tanker
249458000,Training,Cargo/Tanker
249463000,Training,Passenger
249486000,Training,Tug
249487000,Training,Tug
249556000,Training,Passenger
249560000,Training,Supply
249597000,Training,Supply
249667000,Training,Passenger
249744000,Training,Supply
249778000,Training,Cargo/Tanker
249779000,Training,Cargo/Tanker
249803000,Training,Cargo/Tanker
249898000,Training,Passenger
249929000,Training,Cargo/Tanker
250000097,Training,Purse seine
250000216,Training,Trawler
250000322,Training,Trawler
250000633,Training,Trawler
250000775,Training,Pots and traps
250000954,Training,Pots and traps
250000958,Training,Trawler
250001093,Training,Trawler
250001151,Training,Trawler
250001269,Test,Trawler
250001911,Training,Trawler
250002268,Training,Pots and traps
250002427,Training,Trawler
250002435,Training,Trawler
250002475,Training,Trawler
250002562,Training,Trawler
250002882,Training,Pots and traps
250003137,Training,Trawler
250003406,Training,Trawler
250098000,Training,Tug
250101800,Training,Trawler
250101900,Training,Trawler
250102600,Training,Trawler
250102900,Training,Trawler
250104600,Test,Trawler
250104640,Training,Trawler
250104850,Training,Pots and traps
250104890,Training,Purse seine
250105800,Training,Purse seine
250117400,Training,Trawler
250122460,Training,Trawler
250126460,Training,Trawler
250165000,Training,Trawler
250184000,Training,Purse seine
250190000,Training,Trawler
250264000,Test,Trawler
250269000,Training,Trawler
250273000,Training,Purse seine
250350000,Training,Trawler
250369000,Training,Trawler
250370000,Training,Trawler
250390000,Training,Trawler
250444000,Training,Trawler
250493000,Training,Trawler
251049110,Training,Trawler
251067110,Training,Passenger
