mmsi,dataset,label
224191750,Training,Purse seine
224192250,Training,Trawler
224192570,Training,Purse seine
224194620,Test,Trawler
224196000,Training,Longliner
224196160,Test,Trawler
224197150,Training,Longliner
224197230,Test,Trawler
224198230,Training,Trawler
224198240,Test,Trawler
224198440,Test,Purse seine
224201150,Test,Trawler
224201160,Test,Trawler
224204490,Training,Trawler
224204520,Test,Trawler
224205230,Training,Trawler
224205420,Training,Trawler
224205630,Training,Purse seine
224205880,Test,Trawler
224206830,Test,Trawler
224208290,Training,Longliner
224208650,Training,Trawler
224209000,Test,Trawler
224209590,Test,Trawler
224209620,Training,Trawler
224209690,Test,Trawler
224210180,Training,Trawler
224211440,Training,Trawler
224214440,Training,Trawler
224214550,Training,Trawler
224214990,Test,Trawler
224215230,Training,Purse seine
224215430,Test,Trawler
224216220,Test,Trawler
224216660,Training,Trawler
224217120,Test,Purse seine
224218360,Test,Trawler
224218850,Test,Trawler
224219360,Test,Trawler
224220130,Training,Trawler
224220140,Training,Trawler
224220360,Test,Cargo/Tanker
224220650,Training,Trawler
224220670,Test,Purse seine
224221320,Training,Purse seine
224222560,Test,Trawler
224222760,Training,Purse seine
224223630,Training,Purse seine
224224106,Test,Purse seine
224225320,Test,Trawler
224225750,Test,Purse seine
224227590,Training,Trawler
224229000,Test,Trawler
224229980,Test,Trawler
224230370,Training,Trawler
224230530,Test,Purse seine
224230740,Training,Trawler
224231980,Training,Trawler
224233000,Test,Longliner
224233470,Test,Trawler
224234250,Test,Trawler
224234720,Test,Purse seine
224235000,Training,Trawler
224235170,Test,Trawler
224237180,Training,Purse seine
224238430,Training,Trawler
224241000,Test,Longliner
224241390,Test,Trawler
224245280,Test,Trawler
224245520,Test,Trawler
224249780,Training,Trawler
224250000,Training,Longliner
224250430,Test,Trawler
224252450,Test,Trawler
224253000,Training,Longliner
224253750,Training,Trawler
224256000,Training,Longliner
224256220,Training,Purse seine
224257190,Training,Passenger
224258570,Test,Trawler
224258840,Test,Trawler
224259000,Training,Longliner
224259150,Training,Trawler
224259220,Training,Trawler
224260750,Training,Trawler
224261000,Training,Longliner
224262260,Training,Purse seine
224263000,Training,Cargo/Tanker
224264670,Test,Purse seine
224265000,Training,Trawler
224265670,Test,Trawler
224266000,Training,Trawler
224267000,Training,Longliner
224268000,Training,Longliner
224270000,Training,Trawler
224270370,Training,Purse seine
224271000,Training,Purse seine
224273000,Test,Trawler
224275000,Training,Trawler
224279670,Training,Purse seine
224280000,Test,Trawler
224286000,Training,Longliner
224288000,Training,Longliner
224290000,Test,Longliner
224291000,Training,Purse seine
224292000,Training,Trawler
224292770,Training,Trawler
224295000,Training,Longliner
224296000,Training,Cargo/Tanker
224297320,Test,Trawler
224298000,Test,Trawler
224298620,Test,Trawler
224299000,Training,Longliner
224301000,Training,Trawler
224303360,Training,Trawler
224304660,Training,Trawler
224306000,Training,Longliner
224306530,Training,Trawler
224308000,Training,Longliner
224313000,Test,Longliner
224313360,Training,Purse seine
224313390,Training,Trawler
224313420,Training,Trawler
224314000,Test,Trawler
224315860,Training,Purse seine
224318000,Training,Longliner
224320160,Test,Trawler
224322240,Training,Cargo/Tanker
224323960,Test,Trawler
224324000,Test,Trawler
224324980,Training,Trawler
224328880,Test,Trawler
224329000,Test,Trawler
224331000,Test,Trawler
224333460,Training,Purse seine
224335000,Training,Longliner
224337720,Test,Trawler
224337890,Test,Purse seine
224339190,Test,Trawler
224342000,Training,Longliner
224353650,Training,Purse seine
224354000,Training,Trawler
224355000,Test,Trawler
224356930,Test,Passenger
224361000,Training,Trawler
224365000,Training,Cargo/Tanker
224366000,Test,Longliner
224368530,Test,Trawler
224368920,Test,Purse seine
224369000,Training,Trawler
224371000,Training,Longliner
224372000,Training,Trawler
224377000,Test,Longliner
224377530,Training,Trawler
224378000,Test,Trawler
224380000,Training,Longliner
224382970,Test,Trawler
224384000,Training,Trawler
224385000,Test,Longliner
224386370,Test,Trawler
224387000,Training,Trawler
224389000,Training,Trawler
224392000,Test,Longliner
224394000,Test,Trawler
224396270,Test,Purse seine
224405000,Test,Purse seine
224407000,Training,Longliner
224409830,Training,Trawler
224411380,Training,Trawler
224416530,Training,Trawler
224421000,Training,Trawler
224425770,Training,Purse seine
224430000,Training,Trawler
224431000,Test,Purse seine
224436000,Test,Cargo/Tanker
224438000,Test,Longliner
224445000,Training,Longliner
224448260,Training,Purse seine
224452000,Test,Longliner
224456000,Test,Longliner
224457450,Test,Purse seine
224459000,Test,Longliner
224460000,Test,Purse seine
224463000,Test,Trawler
224468000,Test,Trawler
224472000,Training,Longliner
224473000,Training,Purse seine
224473460,Training,Cargo/Tanker
224488000,Test,Trawler
224491000,Test,Trawler
224501000,Training,Purse seine
224506000,Training,Trawler
224514000,Training,Trawler
224523000,Training,Purse seine
224526000,Training,Trawler
224531000,Training,Purse seine
224534000,Training,Trawler
224536000,Test,Trawler
224544160,Training,Longliner
224545000,Test,Longliner
224546000,Training,Trawler
224547000,Training,Trawler
224556000,Test,Longliner
224559000,Training,Trawler
224566950,Test,Trawler
224567000,Test,Trawler
224571000,Test,Trawler
224572000,Training,Trawler
224577000,Test,Longliner
224577480,Training,Trawler
224578000,Test,Longliner
224580000,Test,Purse seine
224581000,Test,Longliner
224587000,Training,Purse seine
224591000,Test,Longliner
224594000,Test,Trawler
224597000,Training,Longliner
224606000,Training,Cargo/Tanker
224609000,Training,Longliner
224615000,Training,Trawler
224619000,Training,Longliner
224622000,Training,Trawler
224623000,Training,Longliner
224626000,Training,Longliner
224651000,Test,Purse seine
224654000,Test,Longliner
224658000,Test,Longliner
224680000,Training,Purse seine
224687000,Test,Longliner
224696000,Training,Longliner
224701000,Training,Trawler
224706000,Training,Trawler
224709000,Training,Purse seine
224710000,Test,Trawler
224712000,Training,Trawler
224716000,Test,Purse seine
224717000,Training,Purse seine
224721000,Training,Longliner
224724000,Test,Trawler
224727000,Training,Purse seine
224732000,Training,Trawler
224733000,Test,Purse seine
224745000,Test,Purse seine
224752000,Training,Longliner
224754000,Test,Trawler
224762000,Training,Longliner
224775000,Test,Trawler
224782000,Training,Purse seine
224816000,Training,Trawler
224819000,Training,Trawler
224820000,Training,Trawler
224854000,Training,Trawler
224859820,Training,Purse seine
224871000,Training,Trawler
224881000,Test,Longliner
224888000,Test,Trawler
224892000,Test,Longliner
224896000,Test,Purse seine
224897000,Training,Trawler
224901000,Training,Trawler
224905000,Training,Trawler
224906120,Test,Trawler
224906170,Training,Trawler
224906180,Test,Trawler
224906190,Training,Trawler
224906480,Training,Purse seine
224913000,Training,Longliner
224918000,Test,Longliner
224926000,Test,Trawler
224929000,Training,Longliner
224933000,Test,Longliner
224935000,Test,Trawler
224938000,Training,Longliner
224949000,Test,Purse seine
224967000,Training,Trawler
224980000,Training,Longliner
224987000,Training,Longliner
224992000,Training,Longliner
224994000,Test,Cargo/Tanker
225309000,Training,Purse seine
225318000,Training,Trawler
225319000,Training,Longliner
225325000,Training,Longliner
225344000,Test,Trawler
225353000,Test,Trawler
225374000,Test,Longliner
225419000,Test,Cargo/Tanker
225420000,Training,Cargo/Tanker
225428000,Test,Cargo/Tanker
225436000,Training,Trawler
225459000,Training,Purse seine
225980573,Test,Longliner
225983597,Training,Longliner
225983852,Training,Purse seine
226005000,Test,Pots and traps
226010000,Training,Trawler
226022000,Test,Seismic
226045000,Training,Trawler
226084000,Test,Pots and traps
226105000,Test,Trawler
226150000,Test,Trawler
226156000,Training,Trawler
226158000,Training,Trawler
226169000,Training,Purse seine
226171000,Test,Trawler
226177000,Test,Trawler
226178000,Training,Trawler
226179000,Test,Trawler
226180000,Training,Purse seine
226183000,Training,Trawler
226198000,Test,Trawler
226202000,Test,Trawler
226216000,Training,Trawler
226230000,Training,Trawler
226243000,Training,Trawler
226246000,Training,Trawler
226254000,Training,Purse seine
226255000,Training,Purse seine
226267000,Test,Trawler
226302000,Training,Cargo/Tanker
226324000,Test,Cargo/Tanker
226328000,Training,Cargo/Tanker
226334000,Training,Trawler
227020190,Training,Passenger
227059680,Training,Passenger
227072430,Training,Passenger
227091690,Training,Passenger
227101600,Training,Trawler
227102900,Test,Trawler
227104700,Training,Trawler
227104900,Training,Trawler
227106100,Test,Trawler
227106400,Test,Trawler
227106700,Training,Trawler
227108400,Training,Trawler
227109600,Training,Trawler
227109900,Test,Trawler
227110600,Training,Trawler
227110900,Training,Trawler
227112700,Test,Trawler
227113400,Training,Trawler
227113500,Test,Trawler
227116300,Test,Trawler
227117600,Training,Trawler
227118500,Training,Trawler
227118700,Test,Trawler
227118800,Test,Trawler
227119200,Training,Trawler
227120500,Training,Trawler
227120900,Training,Trawler
227123700,Test,Trawler
227124600,Test,Trawler
227128800,Test,Trawler
227137400,Training,Trawler
227137600,Training,Trawler
227138700,Training,Trawler
227138800,Training,Trawler
227139900,Training,Trawler
227141600,Training,Trawler
227141900,Training,Trawler
227142100,Training,Trawler
227142200,Test,Purse seine
227142300,Test,Trawler
227142900,Test,Trawler
227143100,Test,Trawler
227143500,Test,Trawler
227143700,Training,Trawler
227143900,Test,Trawler
227144300,Test,Pots and traps
227144400,Training,Trawler
227144500,Training,Trawler
227144600,Training,Trawler
227144900,Test,Trawler
227145300,Training,Trawler
227145400,Training,Trawler
227145600,Training,Purse seine
227145700,Training,Trawler
227145900,Training,Trawler
227146100,Training,Purse seine
227146300,Test,Purse seine
227146400,Training,Trawler
227146600,Test,Trawler
227146700,Training,Trawler
227210470,Test,Passenger
227223230,Test,Passenger
227275010,Training,Trawler
227300430,Training,Trawler
227301110,Test,Pots and traps
227301390,Training,Trawler
227302000,Test,Trawler
227303000,Test,Trawler
227306990,Training,Pots and traps
227307000,Training,Trawler
227308000,Training,Trawler
227309000,Training,Trawler
227309340,Training,Trawler
227310000,Training,Trawler
227311010,Test,Trawler
227312000,Training,Trawler
227312050,Training,Trawler
227312320,Training,Trawler
227313000,Test,Trawler
227314000,Test,Trawler
227314180,Test,Trawler
227314310,Test,Trawler
227314630,Training,Trawler
227315190,Training,Purse seine
227315520,Test,Trawler
227315560,Training,Trawler
227316390,Training,Trawler
227316520,Training,Pots and traps
227316550,Test,Trawler
227316570,Test,Pots and traps
227317030,Training,Trawler
227317040,Training,Trawler
227317550,Training,Trawler
227317720,Training,Trawler
227317810,Test,Trawler
227317860,Training,Trawler
227317980,Test,Trawler
227318010,Test,Purse seine
227318020,Training,Purse seine
227318120,Training,Trawler
227318170,Training,Trawler
227318220,Test,Trawler
227318230,Test,Trawler
227318240,Test,Trawler
227318380,Test,Trawler
227318610,Training,Trawler
227318920,Test,Trawler
227318940,Test,Trawler
227319040,Training,Trawler
227319090,Test,Trawler
227319190,Training,Trawler
227319570,Test,Purse seine
227320000,Training,Trawler
227320020,Training,Trawler
227320710,Test,Trawler
227321240,Training,Trawler
227321830,Test,Trawler
227321890,Training,Trawler
227322230,Test,Trawler
227322270,Training,Trawler
227324000,Test,Trawler
227327000,Training,Trawler
227333000,Training,Trawler
227336000,Training,Trawler
227337000,Training,Trawler
227340000,Test,Trawler
227344000,Test,Trawler
227346000,Training,Pots and traps
227347000,Training,Trawler
227353000,Training,Trawler
227358000,Training,Trawler
227360000,Training,Trawler
227364000,Training,Trawler
227366000,Test,Trawler
227372000,Training,Trawler
227375000,Test,Trawler
227391000,Test,Trawler
227393000,Test,Trawler
227396000,Test,Trawler
227397000,Training,Trawler
227406000,Training,Trawler
227409000,Test,Trawler
227411000,Test,Trawler
227414000,Training,Trawler
227416000,Test,Trawler
227419000,Test,Trawler
227420000,Test,Trawler
227425000,Training,Trawler
227428000,Test,Trawler
227430000,Test,Trawler
227436000,Test,Trawler
227437000,Training,Trawler
227438000,Test,Trawler
227443000,Training,Trawler
227468000,Test,Trawler
227469000,Test,Trawler
227472000,Training,Trawler
227474000,Training,Trawler
227475000,Training,Trawler
227480000,Training,Trawler
227481000,Training,Trawler
227483000,Test,Trawler
227485000,Training,Trawler
227486000,Test,Trawler
227489000,Test,Trawler
227500000,Training,Purse seine
227503000,Training,Purse seine
227504000,Training,Purse seine
227519000,Training,Trawler
227520000,Training,Trawler
227525000,Test,Purse seine
227533000,Test,Trawler
227538000,Training,Trawler
227549000,Training,Purse seine
227550000,Test,Purse seine
227554000,Test,Trawler
227559000,Training,Trawler
227561740,Training,Trawler
227569050,Test,Trawler
227573440,Training,Purse seine
227581550,Training,Pots and traps
227582000,Test,Trawler
227583000,Training,Trawler
227588590,Test,Passenger
227589000,Test,Trawler
227590000,Training,Trawler
227592000,Test,Trawler
227593740,Training,Trawler
227593840,Test,Trawler
227595150,Training,Trawler
227596110,Training,Passenger
227599000,Training,Trawler
227612990,Training,Pots and traps
227624440,Test,Trawler
227625350,Training,Trawler
227625380,Training,Trawler
227630880,Test,Trawler
227632830,Training,Pots and traps
227635680,Test,Purse seine
227640150,Training,Trawler
227640970,Training,Trawler
227648190,Test,Trawler
227650230,Training,Pots and traps
227667550,Training,Trawler
227680790,Test,Trawler
227696000,Training,Passenger
227729980,Test,Trawler
227802000,Test,Trawler
227814000,Test,Trawler
227817000,Training,Trawler
227820000,Test,Pots and traps
227822000,Training,Trawler
227823000,Training,Trawler
227825000,Training,Trawler
227827000,Training,Trawler
227831000,Test,Trawler
227835000,Test,Purse seine
227843000,Training,Trawler
227844000,Test,Trawler
227846000,Training,Purse seine
227853000,Training,Trawler
227857000,Training,Trawler
227867000,Test,Pots and traps
227872000,Test,Trawler
227873000,Training,Trawler
227876000,Training,Trawler
227878000,Test,Trawler
227880000,Training,Trawler
227897000,Training,Trawler
227903000,Training,Trawler
227904000,Training,Pots and traps
227905000,Test,Pots and traps
227909000,Test,Trawler
227912000,Training,Trawler
227913000,Test,Trawler
227915000,Training,Trawler
227917000,Training,Trawler
227922000,Training,Trawler
227928000,Training,Trawler
227931000,Training,Trawler
227936000,Test,Trawler
227938000,Training,Trawler
227939000,Training,Trawler
227941000,Training,Trawler
227945000,Training,Trawler
227980000,Training,Trawler
227981000,Training,Trawler
227984000,Test,Trawler
228003800,Test,Cargo/Tanker
228011800,Test,Passenger
228030800,Training,Seismic
228036800,Test,Seismic
228040000,Test,Longliner
228045600,Training,Seismic
228045800,Training,Seismic
228050600,Training,Seismic
228057000,Test,Cargo/Tanker
228083000,Test,Cargo/Tanker
228128000,Training,Purse seine
228136000,Test,Purse seine
228167000,Training,Purse seine
228168000,Training,Purse seine
228173600,Training,Passenger
228189900,Test,Purse seine
228190600,Training,Trawler
228203800,Training,Trawler
228214900,Training,Cargo/Tanker
228216600,Training,Purse seine
228229600,Test,Cargo/Tanker
228231700,Training,Purse seine
228236800,Training,Trawler
228237800,Training,Cargo/Tanker
228239000,Test,Trawler
228280000,Training,Purse seine
228287600,Training,Cargo/Tanker
228296700,Training,Cargo/Tanker
228301600,Training,Trawler
228306800,Training,Cargo/Tanker
228311900,Training,Passenger
228320600,Training,Cargo/Tanker
228320900,Training,Cargo/Tanker
228330700,Training,Cargo/Tanker
228338600,Test,Cargo/Tanker
228340900,Test,Cargo/Tanker
228348900,Training,Cargo/Tanker
228353600,Training,Cargo/Tanker
228935000,Training,Trawler
229010000,Training,Cargo/Tanker
229036000,Training,Cargo/Tanker
229037000,Test,Cargo/Tanker
229069000,Training,Cargo/Tanker
229111000,Training,Cargo/Tanker
229164000,Training,Cargo/Tanker
229167000,Test,Passenger
229192000,Training,Cargo/Tanker
229201000,Training,Cargo/Tanker
229208000,Training,Cargo/Tanker
229214000,Training,Cargo/Tanker
229219000,Training,Cargo/Tanker
229248000,Training,Cargo/Tanker
229249000,Test,Cargo/Tanker
229263000,Training,Cargo/Tanker
229266000,Training,Cargo/Tanker
229341000,Training,Cargo/Tanker
229376000,Test,Cargo/Tanker
229395000,Test,Cargo/Tanker
229402000,Training,Cargo/Tanker
229411000,Training,Cargo/Tanker
229457000,Training,Cargo/Tanker
229469000,Training,Cargo/Tanker
229524000,Test,Cargo/Tanker
229530000,Test,Cargo/Tanker
229554000,Training,Cargo/Tanker
229557000,Training,Cargo/Tanker
229646000,Training,Cargo/Tanker
229708000,Test,Cargo/Tanker
229737000,Training,Cargo/Tanker
229760000,Training,Cargo/Tanker
229824000,Training,Cargo/Tanker
229843000,Test,Cargo/Tanker
230001770,Training,Trawler
230012000,Training,Trawler
230025680,Training,Trawler
230034210,Test,Trawler
230035000,Test,Trawler
230035100,Test,Trawler
230052950,Test,Trawler
230061850,Test,Trawler
230063680,Test,Trawler
230069190,Test,Trawler
230070270,Test,Trawler
230117380,Training,Trawler
230122280,Training,Trawler
230346000,Test,Trawler
230367000,Test,Cargo/Tanker
230621000,Training,Cargo/Tanker
230627000,Training,Trawler
230915000,Test,Cargo/Tanker
230917000,Training,Cargo/Tanker
230927000,Test,Cargo/Tanker
230940400,Training,Trawler
230941040,Training,Trawler
230941050,Test,Trawler
230941650,Training,Trawler
230941710,Test,Trawler
230942350,Training,Trawler
230942640,Test,Trawler
230964000,Training,Cargo/Tanker
230965000,Training,Cargo/Tanker
230983690,Test,Trawler
230984250,Training,Trawler
230987140,Training,Trawler
230987350,Training,Trawler
230987510,Test,Trawler
230993160,Training,Trawler
230995870,Training,Trawler
230996080,Training,Trawler
230996190,Training,Trawler
230996210,Test,Trawler
230996360,Training,Trawler
231036000,Test,Trawler
231045000,Training,Trawler
231136000,Training,Cargo/Tanker
231145000,Training,Longliner
231565000,Training,Cargo/Tanker
231763000,Test,Cargo/Tanker
231835000,Training,Trawler
232003540,Training,Trawler
232003730,Test,Trawler
232003832,Test,Pots and traps
232003860,Training,Trawler
232004081,Training,Pots and traps
232004190,Test,Trawler
232004360,Test,Trawler
232004518,Test,Passenger
232004538,Training,Pots and traps
232004618,Test,Trawler
232004630,Training,Cargo/Tanker
232004676,Training,Trawler
232004700,Training,Trawler
232004729,Test,Pots and traps
232004735,Test,Pots and traps
232004770,Training,Trawler
232004846,Test,Trawler
232004918,Training,Trawler
232004947,Training,Trawler
232005120,Test,Longliner
232005290,Training,Trawler
232005460,Test,Trawler
232005520,Training,Trawler
232005550,Training,Trawler
232005610,Training,Trawler
232005630,Test,Trawler
232005650,Training,Trawler
232005670,Training,Trawler
232005700,Training,Trawler
232005775,Training,Trawler
232005800,Training,Trawler
232005840,Test,Trawler
232005890,Test,Trawler
232006030,Training,Trawler
232006050,Training,Trawler
232006060,Training,Trawler
232006130,Training,Trawler
232006240,Training,Trawler
232006310,Test,Trawler
232006730,Test,Trawler
232006740,Training,Trawler
232006830,Test,Longliner
232006940,Test,Trawler
232006960,Test,Pots and traps
232007030,Test,Longliner
232007060,Test,Trawler
232007140,Test,Longliner
232007300,Training,Trawler
232007390,Test,Trawler
232007630,Test,Trawler
232007650,Training,Trawler
232007970,Test,Trawler
232008020,Training,Trawler
232064000,Test,Cargo/Tanker
232079000,Test,Cargo/Tanker
232091000,Training,Trawler
232095000,Test,Cargo/Tanker
232148000,Test,Trawler
232204000,Test,Passenger
232240000,Training,Cargo/Tanker
232328000,Training,Trawler
232480000,Training,Cargo/Tanker
232503000,Training,Trawler
232555000,Training,Trawler
232711000,Training,Trawler
232746000,Training,Trawler
232747000,Training,Passenger
232806000,Test,Trawler
232872000,Training,Cargo/Tanker
232877000,Test,Cargo/Tanker
232971000,Training,Cargo/Tanker
233190000,Training,Trawler
233234000,Test,Cargo/Tanker
233282000,Training,Trawler
233296000,Training,Trawler
233308000,Training,Trawler
233344000,Training,Trawler
233345000,Test,Trawler
233353000,Test,Trawler
233433000,Test,Trawler
233486000,Test,Trawler
233586000,Training,Trawler
233635000,Test,Trawler
233651000,Training,Trawler
233659000,Training,Trawler
233661000,Training,Trawler
233694000,Test,Seismic
233714000,Training,Trawler
233805000,Training,Trawler
233807000,Test,Trawler
233820000,Test,Trawler
233826000,Test,Trawler
233860000,Training,Trawler
233937000,Test,Trawler
233975000,Test,Trawler
234002000,Training,Trawler
234013000,Training,Trawler
234014000,Training,Trawler
234052000,Test,Trawler
234056000,Test,Cargo/Tanker
234079000,Training,Trawler
234091000,Training,Trawler
234093000,Test,Trawler
234122000,Training,Trawler
234167000,Test,Trawler
234203000,Test,Trawler
234234000,Training,Cargo/Tanker
234299000,Test,Cargo/Tanker
234340000,Training,Trawler
234341000,Training,Trawler
234690000,Test,Trawler
234705000,Training,Trawler
234771000,Training,Trawler
234781000,Training,Trawler
234805000,Test,Trawler
234806000,Training,Trawler
234839000,Training,Trawler
234879000,Test,Trawler
234889000,Training,Cargo/Tanker
234896000,Test,Trawler
234900000,Training,Trawler
234903000,Training,Trawler
234904000,Test,Trawler
234908000,Test,Trawler
234912000,Test,Trawler
234921000,Training,Trawler
234927000,Test,Trawler
234937000,Test,Trawler
234946562,Training,Trawler
234999055,Test,Trawler
234999060,Training,Trawler
234999155,Training,Trawler
234999157,Test,Trawler
234999177,Test,Trawler
235000097,Training,Trawler
235000150,Training,Trawler
235000170,Test,Trawler
235000270,Test,Trawler
235000476,Training,Trawler
235000560,Training,Trawler
235000604,Training,Trawler
235000620,Test,Trawler
235000640,Training,Pots and traps
235000670,Training,Trawler
235000676,Training,Trawler
235000743,Training,Trawler
235000840,Training,Trawler
235000843,Training,Trawler
235000867,Training,Trawler
235000887,Test,Trawler
235000891,Training,Trawler
235000897,Test,Trawler
235000900,Training,Trawler
235000910,Training,Trawler
235000942,Training,Trawler
235000951,Test,Trawler
235001005,Training,Trawler
235001029,Test,Trawler
235001050,Training,Trawler
235001140,Test,Pots and traps
235001239,Training,Trawler
235001270,Test,Pots and traps
235001280,Training,Trawler
235001320,Training,Trawler
235001340,Training,Trawler
235001390,Training,Trawler
235001428,Test,Trawler
235001440,Training,Trawler
235001497,Training,Trawler
235001620,Training,Pots and traps
235001650,Training,Trawler
235001670,Training,Trawler
235001680,Training,Trawler
235001766,Test,Trawler
235001770,Training,Trawler
235001800,Test,Pots and traps
235001810,Training,Trawler
235001820,Test,Trawler
235001823,Test,Trawler
235001841,Test,Pots and traps
235002029,Test,Trawler
235002051,Test,Trawler
235002070,Training,Trawler
235002082,Training,Pots and traps
235002260,Training,Trawler
235002330,Training,Trawler
235002430,Training,Trawler
235002470,Test,Trawler
235002480,Training,Trawler
235002490,Test,Trawler
235002500,Test,Trawler
235002522,Training,Trawler
235002680,Training,Trawler
235002690,Training,Trawler
235002718,Training,Trawler
235002743,Training,Trawler
235002800,Training,Trawler
235002820,Test,Trawler
235002830,Training,Trawler
235002916,Test,Pots and traps
235003110,Training,Trawler
235003150,Training,Trawler
235003170,Training,Trawler
235003330,Test,Trawler
235003355,Training,Pots and traps
235003460,Training,Trawler
235003589,Training,Trawler
235003653,Test,Trawler
235003678,Test,Trawler
235003760,Training,Trawler
235003785,Training,Trawler
235003825,Training,Trawler
235003850,Test,Trawler
235003891,Test,Pots and traps
235003910,Training,Cargo/Tanker
235003969,Training,Trawler
235004005,Test,Trawler
235004070,Training,Pots and traps
235004076,Test,Trawler
235004110,Training,Longliner
235004256,Training,Trawler
235004290,Training,Trawler
235004300,Test,Trawler
235004378,Training,Pots and traps
235004390,Test,Trawler
235004420,Training,Trawler
235004476,Test,Pots and traps
235004600,Training,Trawler
235004610,Training,Trawler
235004690,Training,Trawler
235004700,Test,Trawler
235004730,Training,Trawler
235004900,Training,Trawler
235004920,Test,Trawler
235004940,Training,Trawler
235005282,Test,Trawler
235005319,Training,Trawler
235005350,Training,Trawler
235005510,Training,Trawler
235005640,Test,Trawler
235005740,Training,Trawler
235005770,Training,Trawler
235005820,Test,Trawler
235005900,Training,Trawler
235006100,Test,Trawler
235006280,Training,Trawler
235006480,Training,Pots and traps
235006500,Training,Trawler
235006880,Training,Longliner
235006941,Training,Trawler
235007070,Training,Trawler
235007080,Training,Trawler
235007140,Training,Passenger
235007143,Training,Pots and traps
235007144,Training,Trawler
235007170,Training,Trawler
235007379,Test,Trawler
235007413,Training,Cargo/Tanker
235007420,Training,Trawler
235007462,Test,Trawler
235007552,Training,Trawler
235007575,Test,Trawler
235007790,Training,Cargo/Tanker
235007860,Training,Trawler
235007904,Test,Trawler
235007912,Training,Trawler
235007960,Training,Trawler
235007968,Training,Pots and traps
235008020,Test,Trawler
235008030,Test,Trawler
235008047,Test,Trawler
235008172,Training,Trawler
235008217,Training,Trawler
235008380,Training,Pots and traps
235008440,Training,Cargo/Tanker
235008860,Training,Trawler
235008880,Training,Trawler
235009020,Training,Cargo/Tanker
235009060,Test,Trawler
235009094,Training,Trawler
235009220,Training,Trawler
235009660,Training,Trawler
235009956,Test,Cargo/Tanker
235010140,Test,Trawler
235010340,Training,Trawler
235010670,Training,Trawler
235010940,Test,Trawler
235011050,Test,Cargo/Tanker
235011055,Test,Trawler
235011218,Training,Pots and traps
235011280,Test,Cargo/Tanker
235011319,Test,Trawler
235011580,Training,Cargo/Tanker
235011770,Training,Passenger
235012112,Test,Trawler
235012902,Training,Trawler
235013021,Training,Trawler
235013031,Test,Pots and traps
235013196,Test,Pots and traps
235013325,Training,Trawler
235013472,Test,Trawler
235013871,Training,Trawler
235013957,Test,Trawler
235014511,Training,Trawler
235014687,Test,Trawler
235015085,Training,Passenger
235015841,Test,Trawler
235016228,Training,Trawler
235016927,Training,Passenger
235018597,Training,Trawler
235018981,Training,Trawler
235019072,Test,Trawler
235020111,Training,Pots and traps
235020355,Test,Trawler
235020423,Training,Trawler
235020549,Training,Trawler
235020797,Training,Pots and traps
235021304,Training,Trawler
235021469,Training,Trawler
235021707,Training,Trawler
235021774,Training,Trawler
235023713,Training,Pots and traps
235023784,Training,Trawler
235025141,Training,Passenger
235025319,Test,Trawler
235026354,Test,Trawler
235026358,Training,Pots and traps
235028482,Training,Trawler
235031017,Training,Trawler
235031151,Training,Trawler
235032001,Training,Trawler
235032237,Training,Trawler
235032253,Test,Passenger
235032854,Training,Trawler
235033145,Test,Trawler
235036491,Test,Trawler
235037363,Training,Trawler
235039296,Training,Trawler
235039383,Training,Pots and traps
235040503,Test,Cargo/Tanker
235050032,Training,Cargo/Tanker
235050365,Training,Trawler
235050734,Test,Cargo/Tanker
235051022,Training,Trawler
235051173,Training,Trawler
235053875,Training,Trawler
235054161,Training,Trawler
235054581,Training,Cargo/Tanker
235054653,Training,Trawler
235055004,Training,Trawler
235057467,Test,Trawler
235058304,Test,Tug/Pilot/Supply
235058697,Training,Cargo/Tanker
235058829,Training,Trawler
235059376,Training,Cargo/Tanker
235059791,Training,Trawler
235060213,Training,Pots and traps
235060277,Training,Trawler
235060281,Training,Trawler
235060306,Test,Cargo/Tanker
235060453,Test,Cargo/Tanker
235060454,Training,Cargo/Tanker
235060679,Test,Cargo/Tanker
235060913,Training,Trawler
235060915,Training,Trawler
235060989,Training,Cargo/Tanker
235061018,Training,Trawler
235062791,Test,Trawler
235063095,Training,Trawler
235063337,Test,Cargo/Tanker
235063795,Training,Trawler
235064432,Test,Trawler
235064434,Test,Trawler
235064831,Test,Trawler
235065047,Training,Pots and traps
235066405,Test,Trawler
235066826,Test,Passenger
235066953,Training,Cargo/Tanker
235067977,Test,Trawler
235068031,Training,Cargo/Tanker
235068085,Training,Cargo/Tanker
235068202,Test,Cargo/Tanker
235068209,Training,Trawler
235068228,Test,Trawler
235068366,Training,Passenger
235068506,Training,Trawler
235068889,Training,Pots and traps
235068963,Test,Cargo/Tanker
235069008,Training,Trawler
235069065,Test,Pots and traps
235069162,Training,Trawler
235070011,Test,Cargo/Tanker
235070031,Training,Cargo/Tanker
235070169,Training,Pots and traps
235070377,Training,Trawler
235070436,Test,Pots and traps
235070707,Training,Cargo/Tanker
235070716,Training,Cargo/Tanker
235070957,Training,Trawler
235071582,Test,Pots and traps
235071779,Test,Pots and traps
235072088,Test,Cargo/Tanker
235072137,Training,Trawler
235073052,Test,Pots and traps
235073173,Test,Passenger
235073614,Training,Cargo/Tanker
235074967,Test,Cargo/Tanker
235075024,Training,Cargo/Tanker
