mmsi,fishing,label,sublabel,length,tonnage,list_sources
235166000,Fishing,Trawlers,,21.300000000000001,202.0,eu
235215000,Fishing,Set gear,Set longlines,30.0,210.0,eu
235307000,Non-fishing,Cargo/Tanker,Tanker,,,cargotanker
235338000,Non-fishing,Seismic vessel,,,,seismic
235374000,Non-fishing,Cargo/Tanker,Tanker,,,kristina
235484000,Non-fishing,Cargo/Tanker,Tanker,,,kristina
235496000,Non-fishing,Cargo/Tanker,Tanker,,,kristina
235620000,Non-fishing,Cargo/Tanker,Cargo,,,cargotanker
235627000,Fishing,Trawlers,,35.5,295.0,clav;eu
235630000,Non-fishing,Cargo/Tanker,Tanker,,,kristina
235637000,Non-fishing,Cargo/Tanker,Tanker,,,kristina
235666000,Non-fishing,Cargo/Tanker,Cargo,,,cargotanker
235672000,Fishing,Trawlers,,70.700000000000003,2424.0,clav;eu
235673000,Fishing,Trawlers,,66.099999999999994,2055.0,clav;eu
235674000,Fishing,Trawlers,,70.700000000000003,2430.0,clav;eu
235739000,Non-fishing,Passenger,,,,kristina
235746000,Fishing,Trawlers,,61.899999999999999,1771.0,eu
235778000,Non-fishing,Cargo/Tanker,Tanker,,,kristina
235799000,Fishing,Trawlers,,27.850000000000001,331.0,eu
235838000,Fishing,Trawlers,,76.430000000000007,2809.0,eu
235844000,Non-fishing,Cargo/Tanker,Cargo,,,kristina
236107000,Non-fishing,Cargo/Tanker,Tanker,,,cargotanker
236111242,Non-fishing,Tug/Pilot/Supply,Pilot,,,five24
236111467,Non-fishing,Passenger,Sailing,,,five24
236111476,Non-fishing,Cargo/Tanker,Tanker,,,cargotanker
236111477,Non-fishing,Cargo/Tanker,Tanker,,,cargotanker
236111668,Non-fishing,Tug/Pilot/Supply,Pilot,,,five24
236111757,Non-fishing,Cargo/Tanker,Tanker,,,cargotanker
236111851,Non-fishing,Seismic vessel,,,,seismic
236111893,Non-fishing,Cargo/Tanker,Tanker,,,kristina
236111894,Non-fishing,Cargo/Tanker,Tanker,,,kristina
236111902,Non-fishing,Seismic vessel,,,,seismic
236165000,Non-fishing,Cargo/Tanker,Tanker,,,cargotanker
236213000,Non-fishing,Cargo/Tanker,Tanker,,,cargotanker
236263000,Non-fishing,Cargo/Tanker,Tanker,,,cargotanker
236333000,Non-fishing,Cargo/Tanker,Cargo,,,cargotanker
236335000,Non-fishing,Cargo/Tanker,Tanker,,,cargotanker
236342000,Non-fishing,Cargo/Tanker,Tanker,,,cargotanker
236343000,Non-fishing,Cargo/Tanker,Tanker,,,cargotanker
236362000,Non-fishing,Cargo/Tanker,Cargo,,,cargotanker
236363000,Non-fishing,Cargo/Tanker,Tanker,,,cargotanker
236379000,Non-fishing,Cargo/Tanker,Tanker,,,cargotanker
236385000,Non-fishing,Cargo/Tanker,Tanker,,,cargotanker
236399000,Non-fishing,Cargo/Tanker,Tanker,,,cargotanker
236403000,Non-fishing,Seismic vessel,,,,seismic
236414000,Non-fishing,Cargo/Tanker,Tanker,,,cargotanker
236475000,Non-fishing,Cargo/Tanker,Tanker,,,cargotanker
236481000,Non-fishing,Cargo/Tanker,Cargo,,,cargotanker
236483000,Non-fishing,Seismic vessel,,,,seismic
236502000,Non-fishing,Cargo/Tanker,Tanker,,,cargotanker
236511000,Non-fishing,Cargo/Tanker,Tanker,,,cargotanker
236518000,Non-fishing,Cargo/Tanker,Tanker,,,cargotanker
236522000,Non-fishing,Cargo/Tanker,Tanker,,,cargotanker
236529000,Non-fishing,Cargo/Tanker,Tanker,,,cargotanker
236536000,Non-fishing,Cargo/Tanker,Cargo,,,kristina
236538000,Non-fishing,Seismic vessel,,,,seismic
236597000,Non-fishing,Cargo/Tanker,Cargo,,,cargotanker
236598000,Non-fishing,Cargo/Tanker,Cargo,,,cargotanker
237004000,Fishing,,,,,itu
237005000,Fishing,,,,104.0,itu
237008500,Fishing,Trawlers,,23.5,87.0,eu
237009900,Non-fishing,Cargo/Tanker,Cargo,,,cargotanker
237011000,Fishing,Trawlers,,31.949999999999999,223.0,eu;itu
237014000,Fishing,,,16.5,34.0,eu;itu
237015000,Fishing,,,25.899999999999999,103.0,eu;itu
237017200,Non-fishing,Cargo/Tanker,Tanker,,,cargotanker
237027000,Fishing,,,20.300000000000001,37.0,eu;itu
237029000,Fishing,,,29.25,126.0,eu;itu
237034000,Fishing,,,29.0,,clav;eu;itu
237036700,Fishing,,,,,itu
237039000,Fishing,,,,166.0,itu
237040000,Fishing,,,,,itu
237041000,Fishing,,,,,itu
237041400,Fishing,,,,,itu
237042100,Fishing,,,,,itu
237043300,Fishing,,,,,itu
237045000,Fishing,Trawlers,,27.649999999999999,122.0,eu;itu
237045300,Fishing,,,,,itu
237046000,Fishing,Trawlers,,27.25,108.5,eu;itu
237048000,Fishing,,,25.800000000000001,78.0,eu
237049000,Fishing,,,,,itu
237050000,Fishing,Trawlers,,24.449999999999999,67.0,eu;itu
237050500,Fishing,,,,,itu
237054000,Fishing,,,,,itu
237057800,Fishing,,,,,itu
237058000,Fishing,,,20.879999999999999,42.0,eu;itu
237059000,Fishing,Trawlers,,19.699999999999999,40.0,eu;itu
237060000,Fishing,,,,,itu
237061000,Fishing,,,,62.0,itu
237062400,Fishing,,,,,itu
237063000,Fishing,Trawlers,,19.399999999999999,33.0,eu;itu
237069000,Fishing,,,,101.0,itu
237069800,Fishing,,,,,itu
237070000,Fishing,,,24.399999999999999,105.0,eu;itu
237071400,Fishing,,,,,itu
237073400,Fishing,,,,15.0,itu
237074300,Fishing,,,,17.0,itu
237074600,Fishing,,,,,itu
237075200,Fishing,,,,,itu
237075300,Fishing,,,,,itu
237078000,Fishing,Trawlers,,23.649999999999999,69.0,eu;itu
237079000,Fishing,Trawlers,,28.969999999999999,160.81,eu
237079700,Fishing,,,,,itu
237085000,Fishing,,,,,itu
237086000,Fishing,,,22.559999999999999,47.0,eu;itu
237086200,Fishing,,,,,itu
237087300,Fishing,,,,15.0,itu
237088400,Fishing,,,,,itu
237088800,Fishing,,,,,itu
237089000,Fishing,,,21.0,57.0,eu;itu
237092300,Fishing,,,,,itu
237092400,Fishing,,,,,itu
237093500,Fishing,,,,,itu
237094000,Fishing,,,,37.0,itu
237096000,Fishing,,,,,itu
237096500,Fishing,,,,,itu
237097000,Fishing,,,17.32,29.0,eu;itu
237097100,Fishing,,,,,itu
237098100,Fishing,,,,13.0,itu
237099200,Fishing,,,,61.0,itu
237099400,Fishing,,,,,itu
237100700,Fishing,,,,,itu
237107700,Fishing,,,,,itu
237108000,Fishing,,,18.27,33.0,eu;itu
237108400,Fishing,,,,,itu
237110300,Fishing,,,,,itu
237111000,Fishing,,,,,itu
237112000,Fishing,Purse seines,,16.850000000000001,25.0,eu;itu
237114000,Fishing,,,,,itu
237119000,Fishing,,,20.0,64.0,eu;itu
237121500,Fishing,,,,,itu
237121800,Fishing,,,,20.0,itu
237123000,Fishing,,,19.5,41.0,eu;itu
237125200,Fishing,,,,,itu
237127000,Fishing,Trawlers,,33.920000000000002,264.0,eu;itu
237127200,Fishing,,,,,itu
237129000,Fishing,,,19.949999999999999,49.0,eu;itu
237131000,Fishing,Trawlers,,32.799999999999997,208.0,eu;itu
237131300,Fishing,,,,,itu
237132000,Fishing,,,32.200000000000003,193.0,eu;itu
237134000,Fishing,,,,296.0,itu
237135000,Fishing,,,,,itu
237136800,Fishing,,,,,itu
237138300,Fishing,,,,,itu
237140500,Fishing,,,,,itu
237141700,Fishing,,,,20.0,itu
237142000,Fishing,,,30.0,168.0,eu
237147000,Fishing,Trawlers,,28.600000000000001,144.0,eu
237148900,Fishing,Purse seines,,15.529999999999999,21.0,eu
237149000,Fishing,Trawlers,,28.5,135.0,eu
237151000,Fishing,,,28.449999999999999,128.0,eu
237153300,Fishing,,,,,itu
237153600,Fishing,,,,,itu
237154500,Fishing,,,,,itu
237154600,Fishing,,,,21.0,itu
237155000,Fishing,Trawlers,,28.300000000000001,108.0,eu;itu
237155900,Fishing,,,,,itu
237157200,Fishing,,,,,itu
237157500,Fishing,,,,,itu
237158800,Fishing,,,,,itu
237158900,Fishing,,,,,itu
237159500,Fishing,,,,15.0,itu
237160700,Fishing,,,,,itu
237161000,Fishing,Trawlers,,27.800000000000001,124.0,eu;itu
237163000,Fishing,Trawlers,,27.800000000000001,113.0,eu;itu
237164000,Fishing,,,27.100000000000001,102.0,eu;itu
237167800,Fishing,,,,,itu
237168000,Fishing,,,26.649999999999999,,eu;itu
237171000,Fishing,Trawlers,,26.5,86.0,eu;itu
237174200,Fishing,,,,,itu
237175000,Fishing,Trawlers,,26.5,75.0,eu;itu
237178000,Fishing,Trawlers,,26.350000000000001,107.0,eu;itu
237179000,Fishing,Trawlers,,26.329999999999998,97.0,eu;itu
237180000,Fishing,Trawlers,,26.149999999999999,81.0,eu;itu
237181600,Fishing,,,,,itu
237183700,Fishing,,,,,itu
237183800,Non-fishing,Cargo/Tanker,Tanker,,,cargotanker
237184300,Fishing,,,,,itu
237185400,Fishing,,,,,itu
237186700,Fishing,,,,,itu
237187900,Fishing,,,,,itu
237188900,Fishing,,,,,itu
237189400,Fishing,,,,,itu
237190000,Fishing,,,25.600000000000001,76.0,eu;itu
237192200,Fishing,,,,,itu
237192500,Fishing,,,,,itu
237194000,Fishing,,,,,itu
237200000,Fishing,,,,,itu
237200500,Fishing,,,,,itu
237205000,Fishing,Trawlers,,25.48,74.0,eu;itu
237206000,Fishing,Trawlers,,28.25,116.0,eu
237207700,Fishing,,,,21.0,itu
237208000,Fishing,,,,94.0,itu
237213000,Fishing,,,,,itu
237214000,Fishing,,,25.300000000000001,79.0,eu;itu
237215000,Fishing,Trawlers,,24.969999999999999,84.0,eu;itu
237216000,Fishing,,,24.949999999999999,,clav;eu;itu
237217000,Fishing,,,,84.0,itu
237218000,Fishing,Trawlers,,24.800000000000001,,eu;itu
237218700,Fishing,,,,,itu
237220000,Fishing,,,24.699999999999999,72.0,eu;itu
237221000,Fishing,Trawlers,,24.219999999999999,64.0,eu;itu
237222000,Fishing,,,,109.0,itu
237223700,Fishing,,,,,itu
237224600,Fishing,,,,,itu
237224700,Fishing,,,,,itu
237228000,Fishing,,,23.649999999999999,69.0,eu
237239800,Fishing,,,,,itu
237240100,Fishing,,,,,itu
237241000,Fishing,,,,,itu
237241600,Fishing,,,,,itu
237242700,Fishing,,,,18.0,itu
237243200,Fishing,,,,,itu
237248000,Fishing,,,22.23,55.0,eu;itu
237249000,Fishing,,,,75.0,itu
237249700,Fishing,,,,7.0,itu
237252000,Fishing,,,,,itu
237252700,Fishing,,,,,itu
237252800,Fishing,,,,16.0,itu
237254000,Fishing,,,,,itu
237254100,Fishing,,,,,itu
237254900,Fishing,,,,,itu
237255000,Fishing,Purse seines,,21.800000000000001,40.0,eu;itu
237256000,Fishing,Trawlers,,21.800000000000001,44.0,eu;itu
237257000,Fishing,,,21.600000000000001,51.0,eu;itu
237259300,Fishing,,,,,itu
237262000,Fishing,Trawlers,,20.370000000000001,35.0,eu;itu
237263700,Fishing,,,,,itu
237264900,Fishing,,,,,itu
237265200,Fishing,,,,,itu
237265300,Fishing,,,,,itu
237267200,Fishing,,,,,itu
237267300,Fishing,,,,,itu
237268000,Fishing,,,,,itu
237268400,Fishing,,,,29.0,itu
237268500,Fishing,,,,14.0,itu
237268600,Fishing,,,,20.0,itu
237272000,Fishing,,,,,itu
237274000,Fishing,,,,,itu
237274100,Fishing,,,,,itu
237276100,Fishing,,,,,itu
237276200,Fishing,,,,,itu
237276600,Fishing,,,,95.0,itu
237277000,Fishing,,,,,itu
237277400,Fishing,,,,13.0,itu
237277500,Fishing,,,,,itu
237280700,Fishing,,,,,itu
237281700,Fishing,,,,,itu
237281800,Fishing,,,,,itu
237282100,Fishing,,,,,itu
237283000,Fishing,,,,,itu
237286000,Fishing,,,,78.0,itu
237287000,Fishing,Trawlers,,29.149999999999999,124.0,eu;itu
237287100,Fishing,,,,,itu
237288600,Fishing,,,,,itu
237290200,Fishing,,,,,itu
237291000,Fishing,,,28.649999999999999,102.0,eu;itu
237291100,Fishing,,,,14.0,itu
237291200,Fishing,,,,,itu
237292000,Fishing,,,28.199999999999999,113.0,eu;itu
237292500,Fishing,,,,,itu
237292700,Fishing,,,,,itu
237294000,Fishing,,,,129.0,itu
237295000,Fishing,Trawlers,,28.0,113.0,eu;itu
237295700,Fishing,,,,,itu
237297900,Fishing,,,,,itu
237299000,Fishing,,,27.5,116.0,eu;itu
237299300,Fishing,,,,,itu
237299500,Fishing,,,,,itu
237299800,Fishing,,,18.66,36.0,eu
237302000,Fishing,Trawlers,,27.370000000000001,116.0,eu;itu
237302200,Fishing,,,,,itu
237303900,Fishing,,,,4.0,itu
237305000,Fishing,,,,89.0,itu
237305200,Fishing,,,,,itu
237306400,Fishing,,,,,itu
237307000,Fishing,,,,,itu
237307300,Fishing,,,,,itu
237308000,Fishing,,,,,itu
237310500,Fishing,,,,,itu
237311000,Fishing,,,,,itu
237311700,Fishing,,,,16.0,itu
237312000,Fishing,,,24.879999999999999,,clav;eu;itu
237313000,Fishing,Trawlers,,22.899999999999999,69.0,eu;itu
237314600,Fishing,,,,,itu
237316000,Fishing,,,22.219999999999999,51.0,eu;itu
237317200,Fishing,,,,,itu
237318000,Fishing,Trawlers,,21.859999999999999,60.0,eu;itu
237319000,Fishing,,,,,itu
237321300,Fishing,,,,,itu
237323600,Fishing,,,,,itu
237325300,Fishing,,,,,itu
237325800,Fishing,,,,,itu
237326600,Fishing,,,,,itu
237327000,Non-fishing,Cargo/Tanker,Tanker,,,cargotanker
237327100,Fishing,,,,29.0,itu
237327700,Fishing,,,,,itu
237329000,Fishing,,,24.899999999999999,79.0,eu;itu
237330100,Fishing,,,,17.0,itu
237331500,Fishing,,,,,itu
237332000,Fishing,,,,,itu
237333000,Fishing,,,21.649999999999999,46.0,eu;itu
237334000,Fishing,Trawlers,,30.300000000000001,161.0,eu;itu
237334200,Fishing,,,,,itu
237335000,Fishing,,,27.300000000000001,121.0,eu;itu
237335300,Fishing,,,,30.0,itu
237336500,Fishing,,,,,itu
237336700,Fishing,,,,22.0,itu
237337000,Fishing,Trawlers,,26.030000000000001,102.0,eu;itu
237337400,Fishing,,,,,itu
237339500,Fishing,,,,,itu
237341000,Fishing,,,,90.0,itu
237341200,Fishing,,,,,itu
237342100,Fishing,,,,,itu
237342900,Fishing,,,,31.0,itu
237343000,Fishing,Trawlers,,25.25,75.0,eu;itu
237343900,Fishing,,,,,itu
237344400,Fishing,,,14.98,30.030000000000001,eu;itu
237344600,Fishing,,,,,itu
237344900,Fishing,,,,,itu
237345000,Fishing,,,23.899999999999999,80.0,eu;itu
237345300,Fishing,,,,18.0,itu
237345400,Fishing,,,,22.0,itu
237345600,Fishing,,,,,itu
237346000,Fishing,,,23.5,74.0,eu;itu
237347000,Fishing,Trawlers,,23.449999999999999,68.0,eu;itu
237348000,Fishing,Trawlers,,22.399999999999999,56.0,eu;itu
237348900,Fishing,,,,,itu
237349000,Fishing,,,22.100000000000001,60.0,eu;itu
237350000,Fishing,Trawlers,,22.0,55.0,eu;itu
237351900,Fishing,,,,,itu
237353200,Fishing,,,,,itu
237355100,Fishing,,,,,itu
237355400,Fishing,,,,,itu
237355500,Fishing,,,,,itu
237355600,Fishing,,,,,itu
237357100,Fishing,,,,,itu
237359600,Fishing,,,,,itu
237360200,Fishing,,,,,itu
237360400,Fishing,,,,,itu
237361800,Fishing,,,,,itu
237362000,Fishing,,,,,itu
237362600,Fishing,,,,9.0,itu
237363000,Fishing,,,20.399999999999999,41.0,eu;itu
237363600,Fishing,,,,,itu
237364000,Fishing,,,19.789999999999999,37.0,eu;itu
237364700,Fishing,,,,,itu
237365000,Fishing,,,,,itu
237366000,Fishing,Trawlers,,22.300000000000001,58.0,eu;itu
237366100,Fishing,,,,,itu
237368200,Fishing,,,,,itu
237369400,Fishing,,,,13.0,itu
237369500,Fishing,,,,,itu
237370000,Fishing,Trawlers,,26.399999999999999,97.0,eu;itu
237370100,Fishing,,,,6.0,itu
237371000,Fishing,,,23.699999999999999,76.0,eu;itu
237371100,Fishing,,,,3.0,itu
237371300,Fishing,,,,4.0,itu
237373100,Fishing,,,,,itu
237373300,Fishing,,,,,itu
237374000,Fishing,,,22.100000000000001,48.0,eu;itu
237374500,Fishing,,,,,itu
237374700,Fishing,,,,,itu
237375200,Fishing,,,,,itu
237376000,Fishing,,,21.800000000000001,60.0,eu;itu
237376600,Fishing,,,,,itu
237380000,Fishing,,,,,itu
237381700,Fishing,,,,,itu
237382000,Fishing,Trawlers,,26.300000000000001,123.0,eu;itu
237383000,Fishing,,,22.420000000000002,51.0,eu;itu
237383200,Fishing,,,,,itu
237383500,Fishing,,,,,itu
237384000,Fishing,,,,54.0,itu
237385000,Fishing,,,,,itu
237385100,Fishing,,,,31.0,itu
237385600,Fishing,,,,,itu
237385700,Fishing,,,,,itu
237387000,Fishing,,,19.870000000000001,48.0,eu;itu
237387100,Fishing,,,,,itu
237387400,Fishing,,,,,itu
237387500,Fishing,,,,,itu
237388000,Fishing,,,,,itu
237389900,Fishing,,,,,itu
237390000,Fishing,,,25.129999999999999,52.0,eu;itu
237390200,Fishing,,,,,itu
237390300,Fishing,,,,14.0,itu
237391000,Fishing,,,,,itu
237392000,Fishing,,,,,itu
237392500,Fishing,,,,,itu
237393000,Fishing,,,,,itu
237393100,Fishing,,,,,itu
237394100,Fishing,,,,,itu
237396000,Fishing,,,,86.0,itu
237398200,Fishing,,,,,itu
237398900,Fishing,,,,,itu
237399000,Fishing,,,,126.0,itu
237399200,Fishing,,,,,itu
237400000,Fishing,Trawlers,,24.300000000000001,75.0,eu;itu
237401000,Fishing,Trawlers,,20.25,35.0,eu;itu
237402000,Fishing,,,19.800000000000001,42.0,eu;itu
237403000,Fishing,,,,,itu
237404000,Fishing,,,,,itu
237407100,Fishing,,,,,itu
237418000,Fishing,Trawlers,,26.0,125.0,eu;itu
237418200,Fishing,,,,,itu
237419900,Fishing,,,,,itu
237421300,Fishing,,,,,itu
237424000,Fishing,,,,,itu
237427000,Fishing,,,,,itu
237428000,Fishing,,,20.800000000000001,54.0,eu;itu
237428500,Fishing,,,,16.0,itu
237428800,Fishing,,,,,itu
237428900,Fishing,,,,,itu
237429000,Fishing,,,,,itu
237429100,Fishing,,,,,itu
237429700,Fishing,,,,,itu
237430000,Fishing,Trawlers,,26.98,121.0,eu;itu
237431000,Fishing,Trawlers,,21.0,48.0,eu;itu
237433900,Fishing,,,,,itu
237435000,Fishing,,,16.359999999999999,28.0,eu;itu
237436800,Fishing,,,,,itu
237437200,Fishing,,,,,itu
237438000,Fishing,Trawlers,,26.32,101.0,eu;itu
237439000,Fishing,,,15.6,26.0,eu;itu
237441000,Fishing,Trawlers,,28.0,136.0,eu;itu
237441200,Fishing,,,,,itu
237443000,Fishing,,,,,itu
237443200,Fishing,,,,,itu
237444000,Fishing,Trawlers,,22.300000000000001,45.0,eu;itu
237445000,Fishing,,,22.100000000000001,61.0,eu;itu
237445300,Fishing,,,,,itu
237446000,Fishing,,,22.0,53.0,eu;itu
237448000,Fishing,,,20.300000000000001,47.0,eu;itu
237449000,Fishing,,,,,itu
237450000,Fishing,,,20.399999999999999,37.0,eu;itu
237450500,Fishing,,,,,itu
237450600,Fishing,,,,,itu
237451000,Fishing,,,,,itu
237452400,Fishing,,,,,itu
237452600,Fishing,,,,,itu
237453000,Fishing,,,19.0,25.0,eu;itu
237456000,Fishing,Trawlers,,30.960000000000001,171.5,eu;itu
237456900,Fishing,,,,,itu
237457000,Fishing,Trawlers,,31.0,197.0,eu;itu
237458600,Fishing,,,,,itu
237459500,Fishing,,,,,itu
237461200,Fishing,,,,,itu
237461700,Fishing,,,,,itu
237463900,Fishing,,,,,itu
237464000,Fishing,,,,137.0,itu
237465100,Fishing,,,,,itu
237465600,Fishing,,,,,itu
237468000,Fishing,Trawlers,,29.0,170.0,eu;itu
237468800,Fishing,,,,6.0,itu
237470000,Fishing,Trawlers,,28.949999999999999,159.0,eu;itu
237470600,Fishing,,,,,itu
237472700,Fishing,,,,,itu
237473700,Fishing,,,,,itu
237474700,Fishing,,,,,itu
237475000,Fishing,Trawlers,,28.899999999999999,147.0,eu;itu
237475700,Fishing,,,,,itu
237477100,Fishing,,,,,itu
237478000,Fishing,,,28.75,175.0,eu;itu
237478400,Fishing,,,,13.0,itu
237479800,Fishing,,,,,itu
237480800,Fishing,,,,23.0,itu
237481100,Fishing,,,,,itu
237482000,Fishing,Trawlers,,28.699999999999999,146.0,eu;itu
237484000,Fishing,,,28.5,131.0,eu;itu
237484200,Fishing,,,,,itu
237486200,Fishing,,,,,itu
237487000,Fishing,,,28.5,135.0,eu;itu
237487900,Fishing,,,,,itu
237488000,Fishing,,,,,itu
237488200,Fishing,,,,14.0,itu
237488300,Fishing,,,,15.0,itu
237489400,Fishing,,,,,itu
237491800,Fishing,,,,,itu
237492300,Fishing,,,,,itu
237497900,Fishing,,,,21.0,itu
237498000,Fishing,,,,128.0,itu
237498100,Fishing,,,,,itu
237499000,Fishing,,,,24.0,itu
237499200,Fishing,,,,,itu
237501000,Fishing,,,,25.0,itu
237501900,Fishing,,,,,itu
237502000,Fishing,,,,,itu
237502400,Fishing,,,,6.0,itu
237503000,Fishing,,,,123.0,itu
237506000,Fishing,Trawlers,,27.75,116.0,eu
237512200,Fishing,,,,,itu
237516000,Fishing,Trawlers,,26.699999999999999,140.0,eu;itu
237516600,Fishing,,,,,itu
237517000,Fishing,,,26.600000000000001,112.0,eu;itu
237518000,Fishing,,,,,itu
237519000,Fishing,,,,112.0,itu
237521800,Fishing,,,,,itu
237525000,Fishing,Trawlers,,26.050000000000001,119.0,eu;itu
237526000,Fishing,Trawlers,,25.399999999999999,79.0,eu;itu
237527000,Fishing,,,,,itu
237534000,Fishing,Trawlers,,24.399999999999999,108.0,eu;itu
237535000,Fishing,Trawlers,,24.149999999999999,92.0,eu;itu
237536000,Fishing,Trawlers,,28.5,134.0,eu;itu
237538000,Fishing,Trawlers,,29.0,165.0,eu;itu
237538600,Fishing,,,,,itu
237538800,Fishing,,,,,itu
237539000,Fishing,Trawlers,,23.050000000000001,74.0,eu;itu
237540000,Fishing,,,22.030000000000001,,eu;itu
237543000,Fishing,,,,,itu
237543900,Fishing,,,,15.0,itu
237544000,Fishing,,,21.800000000000001,52.0,eu;itu
237544800,Fishing,,,,,itu
237545800,Fishing,,,,,itu
237546000,Fishing,Trawlers,,20.940000000000001,41.0,eu;itu
237547000,Fishing,,,21.039999999999999,53.0,eu;itu
237547700,Fishing,,,,,itu
237547800,Fishing,,,,,itu
237549000,Fishing,,,,60.0,itu
237550900,Fishing,,,,,itu
237552000,Fishing,Trawlers,,22.899999999999999,89.0,eu;itu
237553000,Fishing,,,16.5,19.0,eu;itu
237554000,Fishing,,,,17.0,itu
237554800,Fishing,,,,,itu
237555000,Fishing,,,,,itu
237556000,Fishing,Trawlers,,20.199999999999999,40.0,eu;itu
237556300,Fishing,,,,,itu
237558000,Fishing,,,20.010000000000002,36.0,eu;itu
237562000,Fishing,,,19.920000000000002,41.0,eu
237565000,Fishing,Trawlers,,19.5,44.0,eu
237566000,Fishing,Trawlers,,19.399999999999999,47.0,eu
237567000,Fishing,,,19.370000000000001,38.0,eu
237570000,Fishing,,,17.600000000000001,22.0,eu;itu
237581000,Fishing,,,,55.0,itu
237586000,Fishing,,,21.699999999999999,43.0,eu;itu
237589000,Fishing,Trawlers,,22.699999999999999,29.0,eu;itu
237591000,Fishing,Trawlers,,22.600000000000001,61.0,eu;itu
237593400,Fishing,,,,,itu
237597700,Fishing,,,,,itu
237598000,Fishing,,,,50.0,itu
237598500,Fishing,,,,,itu
237599000,Fishing,Trawlers,,20.800000000000001,46.0,eu;itu
237599200,Fishing,,,,21.0,itu
237599800,Fishing,,,,,itu
237600800,Fishing,,,,,itu
237602000,Fishing,,,,32.0,itu
237602200,Fishing,,,,,itu
237604000,Fishing,,,18.550000000000001,27.0,eu;itu
237604700,Fishing,,,,,itu
237609900,Fishing,,,,,itu
237610000,Fishing,,,18.399999999999999,48.0,eu;itu
237612300,Fishing,,,,,itu
237612600,Fishing,,,,,itu
237613000,Fishing,,,28.280000000000001,128.0,eu;itu
237614400,Fishing,,,,,itu
237615000,Fishing,Trawlers,,23.649999999999999,29.390000000000001,eu;itu
237615200,Fishing,,,,9.0,itu
237616000,Fishing,,,,31.0,itu
237617600,Fishing,,,,,itu
237618000,Fishing,,,21.300000000000001,43.0,eu;itu
237618100,Fishing,,,,,itu
237622000,Fishing,,,21.82,49.0,eu;itu
237622300,Non-fishing,Passenger,,,,five24
237623000,Fishing,,,,55.0,itu
237623800,Fishing,,,,,itu
237624000,Fishing,Trawlers,,23.550000000000001,65.0,eu;itu
237625000,Fishing,,,22.100000000000001,60.0,eu;itu
237628000,Non-fishing,Passenger,,,,five24
237630000,Fishing,,,,37.0,itu
237630700,Fishing,,,,,itu
237631000,Fishing,,,,,itu
237632000,Fishing,,,,,itu
237632800,Non-fishing,Passenger,Sailing,,,kristina
237636000,Fishing,,,,,itu
237637000,Fishing,,,,,itu
237638000,Fishing,,,21.600000000000001,58.0,eu;itu
237643000,Fishing,,,,20.0,itu
237644000,Fishing,,,,137.0,itu
237653000,Fishing,,,,115.0,itu
237654000,Fishing,Trawlers,,27.27,121.0,eu;itu
237655000,Fishing,,,,,itu
237656000,Fishing,Trawlers,,26.699999999999999,107.0,eu;itu
237658000,Fishing,,,,,itu
237659000,Fishing,,,,,itu
237662000,Fishing,Trawlers,,24.0,80.0,eu;itu
237663000,Fishing,,,,,itu
237664000,Fishing,Trawlers,,22.359999999999999,58.0,eu;itu
237665000,Fishing,,,15.6,28.0,eu
237665600,Fishing,,,,,itu
237667400,Fishing,,,,,itu
237667500,Fishing,,,,9.0,itu
237671000,Fishing,,,,,itu
237675000,Fishing,,,,,itu
237676500,Fishing,,,,,itu
237677400,Fishing,,,,,itu
237680200,Fishing,,,,,itu
237680600,Fishing,,,,15.0,itu
237680900,Fishing,,,,,itu
237686300,Fishing,,,,,itu
237687000,Fishing,,,19.800000000000001,45.0,eu;itu
237688000,Fishing,,,19.449999999999999,35.0,eu;itu
237689000,Fishing,,,,,itu
237689600,Fishing,,,,,itu
237690000,Fishing,,,,,itu
237692000,Fishing,,,,,itu
237695000,Fishing,,,,,itu
237695500,Fishing,,,,,itu
237696000,Fishing,,,,,itu
237696500,Fishing,,,,,itu
237696600,Fishing,,,,,itu
237696700,Fishing,,,,,itu
237697000,Fishing,Trawlers,,29.0,133.0,eu;itu
237698000,Fishing,Trawlers,,28.829999999999998,138.0,eu;itu
237699000,Fishing,Trawlers,,28.0,133.0,eu;itu
237699200,Fishing,,,,,itu
237699400,Fishing,,,,,itu
237699600,Fishing,,,,,itu
237699800,Fishing,,,,,itu
237732200,Fishing,,,,,itu
237735100,Fishing,,,,,itu
237735800,Fishing,,,,,itu
237736200,Fishing,,,,,itu
237738400,Fishing,,,,,itu
237739300,Fishing,,,,,itu
237741700,Fishing,,,,,itu
237741900,Fishing,,,,,itu
237743200,Fishing,,,,,itu
237743500,Fishing,,,,,itu
237744400,Fishing,,,,,itu
237744600,Fishing,,,,,itu
237745600,Fishing,,,,,itu
237745800,Fishing,,,,,itu
237746500,Fishing,,,,12.0,itu
237747400,Fishing,,,,,itu
237749400,Fishing,,,,,itu
237761100,Fishing,,,,7.0,itu
237761200,Fishing,,,,,itu
237766600,Fishing,,,,,itu
237768400,Fishing,,,,,itu
237775800,Fishing,,,,,itu
237778600,Fishing,,,,,itu
237790300,Fishing,,,,,itu
237792200,Fishing,,,,11.0,itu
237798500,Fishing,,,,,itu
237799600,Fishing,,,,6.0,itu
237801000,Fishing,Trawlers,,27.0,137.0,eu;itu
